Reference,Qty,Value,Footprint
B1,1,SLB08115L1401PM,SLB08115L1401PM
C1,1,1uF,Capacitor_SMD:C_0402_1005Metric
"C2,C6",2,10uF,Capacitor_SMD:C_0402_1005Metric
"C3,C4,C8",3,4.7uF,Capacitor_SMD:C_0402_1005Metric
"C5,C12",2,100nF,Capacitor_SMD:C_0402_1005Metric
"C7,C9",2,15pF,Capacitor_SMD:C_0402_1005Metric
"C10,C11",2,10nF,Capacitor_SMD:C_0402_1005Metric
"D1,D2,D3",3,LED,LED_SMD:LED_0402_1005Metric
GND1,1,Conn_01x01_Pin,Connector_PinHeader_1.00mm:PinHeader_1x01_P1.00mm_Vertical
"L1,L3",2,10uH,Inductor_SMD:L_0402_1005Metric
L2,1,15nH,Inductor_SMD:L_0402_1005Metric
L4,1,4.7uH,Inductor_SMD:L_0402_1005Metric
"M1,M2,M3",3,Conn_01x02_Pin,Connector_PinHeader_1.00mm:PinHeader_1x02_P1.00mm_Vertical
MDBT42V2,1,MDBT42V,MDBT42V:MDBT42V
Q1,1,DMG1012T,Package_TO_SOT_SMD:SOT-523
"R1,R2,R7",3,1k,Resistor_SMD:R_0402_1005Metric
"R3,R8",2,10k,Resistor_SMD:R_0402_1005Metric
R4,1,55k,Resistor_SMD:R_0402_1005Metric
R5,1,1.78M,Resistor_SMD:R_0402_1005Metric
R6,1,1M,Resistor_SMD:R_0402_1005Metric
U1,1,LTC3527EUD-PBF,LTC3527EUD_PBF:QFN-16_UD_LIT
U2,1,ASM330LHHTR,ASM330LHHTR:LGA-14L_2P5X3X0P83_STM
"U3,U4",2,MAX4624EUT+T,MAX4624EUT_T:21-0058I_MXM
U5,1,DRV5032FADBZR,DRV5032FADBZR:DBZ0003A-IPC_A
U6,1,max5419leta+T,max5424:21-0137_T833&plus_2_MXM-L
